Actual_From,Actual_To,Weight
14,795,0.1172857661923077
14,796,0.11937691527884614
14,797,0.11933807057692307
14,1239,0.07747373109615384
15,795,0.11797059026923076
15,796,0.12037030197115385
15,797,0.12028984819230769
15,1239,0.07822787225
16,19,0.3092105339423077
16,124,0.1509642081346154
16,731,0.04807323034615385
16,733,0.04522579027884615
16,734,0.04680916135576923
16,735,0.04610359533653847
16,736,0.050365481865384615
16,737,0.045791056442307694
16,813,0.4918010692307692
16,1195,0.1718483035576923
16,1196,0.08548692699999999
16,1197,0.08169197231730768
16,1199,0.18816482442307692
16,1201,0.16446456426923076
17,1196,0.08645486500961538
17,1197,0.08260381186538461
18,1196,0.08567798059615385
18,1197,0.08183932406730768
19,1196,0.0854233403846154
19,1197,0.08156012686538462
20,1196,0.08448231953846154
20,1197,0.08073212760576923
21,838,0.0864883939903846
21,839,0.07082218941346154
21,840,0.08538724593269231
22,999,0.20101593240384613
22,1000,0.2012377628846154
23,999,0.19952886961538463
23,1000,0.19953000875000002
24,999,0.19955820846153843
24,1000,0.19936116855769231
25,999,0.1999694578846154
25,1000,0.19950602307692306
26,999,0.1999275335576923
26,1000,0.20036503826923077
28,147,0.14960026913461538
28,953,0.22719600673076926
28,1238,0.2590527292307692
29,147,0.15029884451923076
29,953,0.23136678201923078
29,1238,0.26474446471153845
30,466,0.1768595803269231
30,468,0.03886091848076923
30,469,0.05898724973076923
31,466,0.17338375509615386
31,468,0.038002489009615385
31,469,0.05797663414423077
32,464,0.04404514626923077
32,465,0.04310940259615385
33,460,0.13000588639423077
33,461,0.09982494891346153
33,462,0.11115826315384615
33,468,0.03814667860576923
33,1339,0.46311778557692307
34,464,0.04473827763461539
34,465,0.043654551240384615
34,466,0.17397569
34,469,0.057952808567307695
35,464,0.04573030803846154
35,465,0.044614960596153844
35,466,0.1794444521153846
35,469,0.05899472628846154
36,279,1.0
36,1178,1.0
37,910,0.027705307442307696
37,911,0.03445415636538462
37,912,0.03405084310576923
37,914,0.032819747625
37,915,0.03387415759615385
37,916,0.03490754450961538
38,297,0.1784931017307692
38,321,1.0
38,627,0.030157609173076923
38,910,0.027708293076923077
38,911,0.034425641701923075
38,912,0.03396954034615385
38,914,0.03259012336538462
38,915,0.033809820153846155
38,916,0.03483097069230769
38,933,0.042957117557692305
38,934,0.046738994374999995
38,935,0.06487038201923077
38,936,0.3661385316346154
38,937,0.47878825451923074
38,938,0.14028537837500002
38,939,0.0713329825576923
38,940,0.07283235735576923
38,1008,0.18224873173076925
39,98,0.6390793974038461
39,99,0.6287564251923077
39,290,0.06306566440384616
39,291,0.0585605883173077
39,393,0.33306300798076927
39,496,0.7208971805769231
39,685,0.4459270036538462
39,686,0.14786138761538462
39,687,0.1687932403846154
39,688,0.739770049423077
41,1040,0.14823011576923076
42,43,0.11656932626923076
42,69,0.08926400501923076
42,70,0.048373451615384616
42,71,0.1267905398173077
42,103,0.1220551689326923
42,108,0.0249017825
42,129,0.3299583975961538
42,162,0.2167089923076923
42,215,0.07423215841346154
42,216,0.12969380373076922
42,227,0.06807256045192309
42,249,0.08985678147115385
42,250,0.09238288657692308
42,251,0.06400587476923078
42,252,0.07391024777884615
42,253,0.06578928015384615
42,429,0.04263985651923077
42,430,0.04976504780769231
42,431,0.05781738109615385
42,498,0.32967614865384615
42,499,0.09570035312500001
42,549,0.061020000153846156
42,551,0.05263243589423077
42,710,0.09473812941346155
42,723,0.1472366666923077
42,726,0.3287842846153846
42,731,0.0473697649423077
42,737,0.04518200496153846
42,752,0.1792509698076923
42,789,0.05605627076923077
42,819,0.05380433820192308
42,821,0.10367972326923078
42,822,0.1656436051923077
42,823,0.16454957730769232
42,837,0.05748219173076923
42,844,0.29060408932692305
42,872,0.12418082314423076
42,887,0.13578730433653846
42,960,0.2071955389423077
42,961,0.18447207846153846
42,962,0.1539713655769231
42,966,0.3269044584615385
42,967,0.33107321240384613
42,968,0.32989162625
42,969,0.33017024932692307
42,1054,0.06690217182692307
42,1092,0.04022602901923077
42,1259,0.32854312740384617
42,1260,0.11409406213461538
42,1340,0.0808884036826923
42,1341,0.07518162208653846
43,369,0.27413988663461536
43,789,0.057935758615384615
43,1121,0.12966126473076922
43,1122,0.11648025464423076
43,1123,0.14530889990384616
43,1348,0.45104471336538465
44,43,0.117318753625
44,69,0.09024235046153846
44,70,0.04878632854807692
44,71,0.12744299488461538
44,103,0.12307078127884616
44,108,0.025131119740384615
44,129,0.3326850572115384
44,162,0.2177600973076923
44,215,0.07476211792307692
44,216,0.13074122272115385
44,227,0.06872596246153846
44,249,0.08993912035576922
44,250,0.09239018798076923
44,251,0.0642532933173077
44,252,0.073958532375
44,253,0.06633681685576923
44,429,0.04269511758653846
44,430,0.05001961041346154
44,431,0.058222651240384615
44,498,0.32962125471153847
44,499,0.09579330095192308
44,549,0.06107768927884615
44,551,0.05301928264423077
44,710,0.09458232936538462
44,723,0.147379043
44,726,0.3292826213461538
44,731,0.047866008528846156
44,737,0.04535458663461538
44,752,0.17915394798076922
44,789,0.056317509586538465
44,819,0.054191705413461536
44,821,0.1042599581826923
44,822,0.1661883960576923
44,823,0.16509001884615385
44,837,0.05757549510576923
44,844,0.29083100817307694
44,872,0.1247224075673077
44,887,0.1365499773076923
44,960,0.2084925164423077
44,961,0.18669166298076922
44,962,0.15540786509615384
44,966,0.33032886538461537
44,967,0.3319670889423077
44,968,0.3308813639423077
44,969,0.3323402344230769
44,1054,0.06843649713461539
44,1092,0.04047127049038461
44,1259,0.3298733667307693
44,1260,0.114612291625
44,1340,0.08130393333653846
44,1341,0.07550767051923077
45,43,0.11945371997115384
45,69,0.09200510749038462
45,70,0.05020639216346154
45,71,0.12939895347115385
45,103,0.12567589225
45,108,0.025413877490384616
45,129,0.33735654615384614
45,162,0.22102554576923075
45,215,0.07575761338461538
45,216,0.1338012177596154
45,227,0.07012845607692307
45,249,0.09287228582692308
45,250,0.09495434461538463
45,251,0.06604547272115385
45,252,0.0758659365
45,253,0.06852046317307693
45,429,0.043580436817307694
45,430,0.05174886438461539
45,431,0.060336415884615385
45,498,0.34070259778846157
45,499,0.09848870897115385
45,549,0.06315334175
45,551,0.054889072153846155
45,710,0.09666508088461538
45,723,0.1512701551923077
45,726,0.34193308817307694
45,731,0.04961501115384615
45,737,0.046936723221153845
45,752,0.18358531913461537
45,789,0.05839155875961539
45,819,0.056311843317307694
45,821,0.10822177429807692
45,822,0.17248931942307694
45,823,0.1711828351923077
45,837,0.05960298595192308
45,844,0.30026420653846153
45,872,0.12947087704807692
45,887,0.1411032660192308
45,960,0.2117010006730769
45,961,0.19195494865384613
45,962,0.15818298528846153
45,966,0.3427666771153846
45,967,0.3369597043269231
45,968,0.33922700817307694
45,969,0.33748951048076925
45,1054,0.07116923794230769
45,1092,0.04108712208653846
45,1259,0.34158350740384613
45,1260,0.11867582065384616
45,1340,0.08424720684615385
45,1341,0.07798640162500001
49,560,0.4142617144230769
49,562,0.42102900201923077
49,1312,0.44555280336538466
49,1336,0.07983367684615385
50,259,0.10775874834615386
50,381,0.11422752928846153
50,410,0.11966452467307692
50,411,0.11688648852884616
50,419,0.0873447555576923
50,420,0.12372485320192307
50,422,0.1079663685576923
50,546,0.11162608719230768
50,585,0.08097718929807693
50,641,0.11140089391346154
50,880,0.08674997646153847
51,259,0.11488317704807692
51,381,0.12248713965384615
51,410,0.12906408800961539
51,411,0.1261774525576923
51,419,0.09369448181730769
51,420,0.13327816652884616
51,422,0.11505469263461537
51,546,0.11952907403846155
51,585,0.08704668886538462
51,641,0.11870351837500001
51,880,0.09218512509615384
52,162,0.22603200990384617
53,390,1.0
53,893,1.0
53,894,1.0
53,1300,1.0
53,1301,1.0
53,1353,1.0
54,100,0.14628167383653848
54,101,0.12525794541346152
54,277,0.07241850238461539
54,345,0.08890840732692308
54,346,0.08833164150961538
54,347,0.08303707815384616
54,1183,0.2254673941346154
54,1267,0.10375531900961538
55,54,0.19260955375
55,100,0.15059988273076924
55,101,0.12793001846153845
55,277,0.07330340349038461
55,345,0.09010781329807692
55,346,0.08950033992307692
55,347,0.08387304026923077
55,1183,0.22836867903846156
55,1267,0.10465843868269231
56,57,0.23393970634615385
56,838,0.08826419225961539
56,839,0.07181241475961539
56,840,0.08690599779807692
56,1019,0.24227377644230771
56,1020,0.28540815442307693
56,1021,0.6695169250961539
57,838,0.08535048808653846
57,839,0.06996890101923077
57,840,0.08428975610576923
58,707,0.12808612125961538
58,708,0.12445297134615384
59,1101,0.0903731153076923
60,941,0.10576099338461538
60,942,0.10571962743269231
61,941,0.10579749339423078
61,942,0.10496503095192308
61,1052,0.08190081438461538
62,1101,0.08991085969230769
63,1101,0.0913895776826923
64,522,0.02897919753846154
64,644,0.033265936134615384
64,786,0.04805088046153846
64,845,0.031020478923076925
64,1101,0.08878744272115384
64,1128,0.036399210221153847
64,1129,0.03639921032692307
65,46,0.3779158443269231
65,47,0.38052782125
65,50,0.3888240665384615
65,51,0.3765400423076923
65,108,0.025152135500000002
65,215,0.07588325814423078
65,216,0.13246749342307693
65,359,0.4619132233653846
65,376,0.4899261200961539
65,377,0.4223661236538462
65,378,0.4941447429807692
65,419,0.08905803266346154
65,454,0.40243341846153846
65,513,0.3459654111538461
65,514,0.39458717980769226
65,515,0.38143632980769226
65,516,0.3541685880769231
65,519,0.4859532594230769
65,666,0.45297107923076924
65,667,0.3968582505769231
65,699,0.2956859733653846
65,837,0.058546388134615386
65,883,0.4327814710576923
65,888,0.15798231153846157
65,890,0.45751103230769236
65,891,0.4703503120192308
65,892,0.4983979280769231
65,896,0.5452820757692307
65,1154,0.12670504443269232
65,1190,0.15878178923076922
65,1274,0.4484421964423077
65,1276,0.4745600413461538
65,1293,0.48579547673076917
65,1360,0.09248485146153847
66,67,0.4737303101923077
66,179,0.05902126475961538
66,180,0.05755953828846154
66,181,0.05859543655769231
66,182,0.05844811425
66,183,0.05768120290384615
66,184,0.05781864992307692
66,185,0.05793943841346154
66,186,0.056802381278846154
66,187,0.05779051370192308
66,188,0.05819615835576923
66,284,0.06774416372115385
66,290,0.06399045882692309
66,291,0.05967961581730769
66,292,0.0669783616826923
66,293,0.055762682875000004
66,294,0.070854751625
66,295,0.07025553012499999
66,459,0.1485201716153846
66,483,0.4994561080769231
67,179,0.058752714288461544
67,180,0.05782283150961538
67,181,0.05879410088461538
67,182,0.05909246576923077
