"","gene_node_idx","gene_node_name","Weight"
"126",173,"CCL5",0.818450982334102
"54",73,"ATG16L1",0.817634754237188
"171",236,"CNTF",0.81389757894641
"414",607,"ITGA5",0.81278819340269
"27",30,"ADORA2A",0.807966293079044
"124",171,"CCL4",0.807897745806261
"422",617,"ITGB5",0.807843777034379
"13",14,"ACTB",0.805035328326879
"14",15,"ACTG1",0.803739460867048
"740",1126,"RRAGC",0.801914502075342
"84",112,"BCL3",0.801871141833558
"188",264,"CSNK1A1L",0.801127248302515
"619",948,"PLN",0.800909069218629
"187",263,"CSNK1A1",0.800468191044589
"416",609,"ITGA9",0.794673191986148
"391",569,"IL24",0.793963787299252
"383",558,"IL15",0.793011195524921
"411",604,"ITGA2B",0.787017830983324
"29",34,"ADRB1",0.785678786334597
"421",616,"ITGB4",0.785230828310944
"423",618,"ITGB7",0.780477526253532
"588",883,"PDK1",0.778016652542869
"93",127,"BRAF",0.777240035545043
"183",259,"CSF1R",0.776352047777394
"55",74,"ATG5",0.77364361613416
"551",833,"NOD1",0.769299556003131
"513",771,"MEFV",0.767914652909314
"307",422,"FLT4",0.762890554970278
"451",657,"LAMTOR3",0.761989865908671
"176",241,"COL6A3",0.761784574781672
"30",35,"ADRB2",0.760494665469684
"39",51,"ANGPT2",0.759892799394843
"641",973,"PPP2R1B",0.758190376042149
"38",50,"ANGPT1",0.757590206016773
"443",649,"LAMA2",0.756001432166964
"640",972,"PPP2R1A",0.754722753526663
"209",295,"CXCR6",0.753659825446205
"482",707,"MAP2K1",0.751012926274629
"639",971,"PPP2CB",0.750847856186335
"202",284,"CX3CR1",0.750754608016914
"483",708,"MAP2K2",0.750284093204762
"208",294,"CXCR5",0.750097297932528
"638",970,"PPP2CA",0.748797890423327
"624",953,"PPARA",0.748237344502604
"207",292,"CXCR3",0.747808610209458
"11",12,"ACSL6",0.746905992518314
"6",5,"ACADM",0.745902338760846
"10",11,"ACSL5",0.745813169276116
"8",9,"ACSL3",0.745609565489634
"186",262,"CSF3R",0.745242141480565
"7",8,"ACSL1",0.74516898077949
"9",10,"ACSL4",0.744716529791993
"3",2,"ACAA1",0.74403985537405
"179",244,"COL9A3",0.743887292134686
"103",144,"CAMK2D",0.743397721824901
"309",424,"FN1",0.743044085384771
"104",145,"CAMK2G",0.742662539327126
"444",650,"LAMA5",0.741237634698443
"175",240,"COL6A2",0.740987326678828
"446",652,"LAMB2",0.740520005183361
"445",651,"LAMB1",0.739636816177336
"620",949,"PLTP",0.739039233389896
"177",242,"COL6A6",0.738996963330972
"448",654,"LAMC3",0.738332421520467
"178",243,"COL9A2",0.737780160972457
"739",1125,"RRAGB",0.737666940407634
"864",1322,"TNXB",0.737239382334345
"396",579,"IL7",0.73705136606308
"164",226,"CHRM5",0.736407259961415
"888",1363,"VWF",0.734850079630895
"174",239,"COL6A1",0.733505710710539
"287",396,"FADS2",0.733380461712196
"447",653,"LAMC1",0.733245467359374
"840",1286,"THBS3",0.732959993448403
"751",1149,"SCP2",0.731104931261528
"112",155,"CASP1",0.729911032112776
"419",613,"ITGB1",0.728837236378234
"560",843,"NR1H3",0.728556864794425
"785",1189,"SLC27A4",0.725457269493601
"181",248,"CPT2",0.724443477677666
"508",754,"ME3",0.724438694358688
"206",288,"CXCL5",0.723916767847616
"226",312,"DBI",0.723820699705604
"784",1188,"SLC27A1",0.723635145020079
"118",163,"CASTOR1",0.723536340047386
"353",518,"HMGCS1",0.723496504354331
"275",380,"EPOR",0.722887532451428
"569",854,"OSM",0.722058736611999
"810",1239,"STK3",0.719826151273262
"203",285,"CXCL1",0.717596067012691
"708",1080,"RASSF1",0.714822879522176
"105",147,"CAMKK2",0.714732464886941
"738",1124,"RRAGA",0.711393335860073
"467",681,"LIMD1",0.710662233588236
"395",578,"IL6ST",0.709477053579377
"390",568,"IL23A",0.706030325482606
"310",426,"FNIP2",0.704681702336559
"583",877,"PDGFB",0.701411730704026
"643",975,"PPP2R2B",0.700686892948627
"886",1361,"VEGFB",0.697412599287735
"455",669,"LEPR",0.694264773215457
"318",450,"GABBR1",0.690757378636569
"368",540,"IFNAR1",0.689662345926368
"386",564,"IL1B",0.689262542705478
"276",381,"ERBB2",0.687648603854885
"582",876,"PDGFA",0.686282650339571
"661",1000,"PRKACB",0.686149611832398
"660",999,"PRKACA",0.684830417821942
"552",834,"NOD2",0.679606667803649
"372",544,"IFNK",0.678560519012271
"642",974,"PPP2R2A",0.678054038429823
"741",1127,"RRAGD",0.676653817843084
"494",726,"MAP3K8",0.672686996196084
"300",414,"FLCN",0.672345103009804
"369",541,"IFNAR2",0.671068690359433
"393",571,"IL2RA",0.664208480518004
"704",1074,"RASGRF1",0.663158861965824
"328",467,"GNAO1",0.660576915834087
"374",546,"IGF1R",0.660447151715611
"298",411,"FGFR2",0.659395173531503
"204",286,"CXCL10",0.657309525400267
"297",410,"FGFR1",0.657307746460771
"213",299,"CYLD",0.65635094740322
"356",523,"HRH2",0.656117415511145
"23",26,"ADCY9",0.653450656346694
"644",976,"PPP2R2D",0.652705949740736
"22",25,"ADCY7",0.652189520640971
"21",24,"ADCY4",0.651655381264149
"20",22,"ADCY1",0.650854398907301
