"","Actual_From","Actual_To","Weight"
"1684",286,183,0.960760244577833
"1685",286,184,0.972614496070825
"1686",286,185,0.981616084256187
"1687",286,186,0.972989532462055
"1688",286,187,0.976109795867111
"1689",286,188,0.967328500670555
"1690",286,284,0.776819351521184
"1693",286,292,0.787502383777957
"1695",286,294,0.778179713507184
"1696",286,295,0.781402210842169
"1697",287,179,1
"1698",287,180,0.956826116641987
"1699",287,181,0.989518870548073
"1700",287,182,0.943753540957885
"1701",287,183,0.9400637806539
"1702",287,184,0.963025941034118
"1703",287,185,0.972708244255817
"1704",287,186,0.96903957377109
"1705",287,187,0.963082831639622
"1706",287,188,0.956682409332875
"1707",287,284,0.773155527097638
"1710",287,292,0.765814642645077
"1712",287,294,0.777015284755289
"1713",287,295,0.781565813599743
"1714",288,179,0.99663445604653
"1715",288,180,0.969355094233638
"1716",288,181,1
"1717",288,182,0.96698690602057
"1718",288,183,0.970232802683381
"1719",288,184,0.975634477880356
"1720",288,185,0.98531441805967
"1721",288,186,0.973700517805121
"1722",288,187,0.979990768585762
"1723",288,188,0.971190293146648
"1724",288,284,0.777360792113818
"1727",288,292,0.810311078931974
"1729",288,294,0.777988165541303
"1730",288,295,0.775759818513546
"1802",299,112,1
"1826",313,815,1
"1831",318,1124,0.883571858300649
"1832",318,1125,1
"1991",358,259,0.989422700937168
"1992",358,381,0.948253836650416
"1993",358,410,0.951316301418506
"1994",358,411,0.934860100381436
"1996",358,420,1
"1997",358,422,0.964419460726541
"1998",358,546,0.941981024444035
"2133",380,540,1
"2134",380,541,0.918653141060212
"2135",380,571,0.866827384596152
"2150",381,707,0.989206023734883
"2151",381,708,1
"2162",382,834,1
"2163",383,259,0.99411075756241
"2164",383,381,0.948325343773663
"2165",383,410,0.948826849910853
"2166",383,411,0.938824497812027
"2168",383,420,0.992970135339988
"2169",383,422,0.967855607729779
"2170",383,546,0.947981517704713
"2204",390,14,0.9981161571627
"2205",390,15,1
"2239",401,815,1
"2318",414,426,1
"2319",414,1124,0.103943673670589
"2320",414,1125,0.122762317775491
"2321",414,1126,0.0735568646588243
"2322",414,1127,0.103760616463726
"2338",421,259,0.988622219467535
"2339",421,381,0.939636510817977
"2340",421,410,0.934927073386676
"2341",421,411,0.936627956666193
"2343",421,420,0.977159844193139
"2344",421,422,0.95609904791763
"2345",421,546,0.94536761483309
"2362",424,601,0.974772057004426
"2363",424,602,1
"2364",424,603,0.928526238198951
"2365",424,604,0.779946953000225
"2366",424,605,0.813032795125033
"2367",424,606,0.78123470329328
"2368",424,607,0.737143560408237
"2369",424,608,0.966599890921587
"2370",424,609,0.711154621773983
"2372",424,613,0.54248639425144
"2374",424,616,0.655815352132117
"2375",424,617,0.661709642497455
"2376",424,618,0.604460571172166
"2377",424,619,0.599541669405533
"2384",426,414,1
"2386",426,1124,0.147963475704256
"2387",426,1125,0.164191037320418
"2388",426,1126,0.131889575101641
"2389",426,1127,0.182779182525188
"2611",450,467,1
"2616",456,35,1
"2617",456,409,1
"2618",456,450,1
"2619",456,502,1
"2620",456,503,1
"2621",456,1244,1
"2717",466,22,1
"2719",466,24,0.964308748532806
"2720",466,25,0.975155533074495
"2721",466,26,0.97715458179553
"2722",467,22,0.168700869213876
"2724",467,24,0.161202032075615
"2725",467,25,0.163702455186921
"2726",467,26,0.165379869533718
"3200",485,546,1
"3271",492,179,0.990647583626481
"3272",492,180,0.967337787671797
"3273",492,181,1
"3274",492,182,0.959747303577711
"3275",492,183,0.960587526001631
"3276",492,184,0.971478738952104
"3277",492,185,0.977015555878963
"3278",492,186,0.972142160448313
"3279",492,187,0.976231813462516
"3280",492,188,0.965253561764533
"3281",492,284,0.771714629937966
"3284",492,292,0.801334066671882
"3286",492,294,0.777615677837596
"3287",492,295,0.77744692476373
"3288",493,179,1
"3289",493,180,0.957681197035617
"3290",493,181,0.999673044709886
"3291",493,182,0.95120591375774
"3292",493,183,0.95198768728739
"3293",493,184,0.973574775704412
"3294",493,185,0.984289495254188
"3295",493,186,0.970329783649528
"3296",493,187,0.972548146387599
"3297",493,188,0.97221449416714
"3298",493,284,0.791778180238022
"3301",493,292,0.807801532751158
"3303",493,294,0.797886204402829
"3304",493,295,0.797717922875331
"3305",494,179,1
"3306",494,180,0.944066197759389
"3307",494,181,0.988468556682401
"3308",494,182,0.935608286026389
"3309",494,183,0.934140702277705
"3310",494,184,0.962265545374893
"3311",494,185,0.975704043805235
"3312",494,186,0.961285772667096
"3313",494,187,0.958748389741589
"3314",494,188,0.962440259596072
"3315",494,284,0.783198478359818
"3318",494,292,0.785074272055985
"3320",494,294,0.788217803781475
"3321",494,295,0.790199403443649
"3322",495,179,1
"3323",495,180,0.950137903714942
"3324",495,181,0.991010086341148
"3325",495,182,0.942152784770525
"3326",495,183,0.940613295718396
"3327",495,184,0.965000329025039
"3328",495,185,0.978710037259098
"3329",495,186,0.966658321928817
"3330",495,187,0.96167392002655
"3331",495,188,0.965284226177743
"3332",495,284,0.767660297407328
"3335",495,292,0.774637623285775
"3337",495,294,0.770371060278186
"3338",495,295,0.775259561710653
"3425",511,259,0.992821126421732
"3426",511,381,0.942478419242858
"3427",511,410,0.939972709586381
"3428",511,411,0.936924781143766
"3430",511,420,0.984199209942616
"3431",511,422,0.958252590393843
"3432",511,546,0.94490802675742
"3516",523,466,1
"3547",533,466,1
"3560",540,541,1
"3561",540,571,0.929936042846217
"3575",541,571,1
"3601",544,260,0.945688414925175
"3602",544,261,0.954429330822827
"3603",544,262,0.931609139702947
"3604",544,380,0.892951081943851
"3605",544,540,0.805720359661665
"3606",544,541,0.739214098528551
"3607",544,542,1
"3608",544,543,0.935697323068208
"3609",544,545,0.963083612794889
"3610",544,552,0.954205298571232
"3611",544,553,0.944055242417353
"3612",544,554,0.975134114394141
"3613",544,555,0.951641714896294
"3614",544,556,0.96256611189386
"3615",544,557,0.943601945300032
"3616",544,559,0.936385237925717
"3617",544,567,0.933605551407833
"3618",544,570,0.948392397544426
"3619",544,571,0.679698298948256
"3624",544,576,0.943830527422947
"3626",544,578,0.937382564498173
"3628",544,669,0.903575445949096
"3629",544,785,0.981982385789445
"3642",546,707,0.848037848394326
"3643",546,708,0.857562077704538
"3655",547,259,0.99287894023363
"3656",547,381,0.949106236210778
"3657",547,410,0.951758734988054
"3658",547,411,0.936866668992035
"3660",547,420,1
"3661",547,422,0.96513279448068
"3662",547,546,0.944097247627821
"3728",558,260,0.953659187614371
"3729",558,261,0.982251091332713
"3730",558,262,0.95438235619318
"3731",558,380,0.879820145934827
"3732",558,540,0.798637306445828
"3733",558,541,0.729848979127701
"3734",558,542,0.946809189543305
"3735",558,543,0.92951473251326
"3736",558,545,1
"3737",558,552,0.957859960379152
"3738",558,553,0.952040008874449
"3739",558,554,0.926455715749414
"3740",558,555,0.9567944196883
"3741",558,556,0.957601153754864
"3742",558,557,0.963633405331881
"3743",558,559,0.948452657233177
"3744",558,567,0.945897266360532
"3745",558,570,0.9632664087939
"3746",558,571,0.682997772214713
"3751",558,576,0.942551643778227
"3753",558,578,0.948872940153715
"3755",558,669,0.856548449129295
"3756",558,785,0.981563983936285
"3779",564,565,1
"3780",564,566,1
"3790",568,260,0.963680048835315
"3791",568,261,0.969638816952565
"3792",568,262,0.957639474122693
"3793",568,380,0.903547678176801
"3794",568,540,0.822165172548953
"3795",568,541,0.767039830577131
"3796",568,542,0.982982398568659
"3797",568,543,0.962068691095851
"3798",568,545,0.988303972404393
"3799",568,552,0.973724707416698
"3800",568,553,0.967543880966969
"3801",568,554,1
"3802",568,555,0.975367912379814
"3803",568,556,0.972218214607097
"3804",568,557,0.967393336756372
"3805",568,559,0.973209651891813
"3806",568,567,0.961350235404651
"3807",568,570,0.975791239024551
"3808",568,571,0.702822875660257
"3813",568,576,0.966096780236289
"3815",568,578,0.964135720415254
"3817",568,669,0.924884098233566
"3818",568,785,0.980914620882855
"3822",569,260,0.954830238779995
"3823",569,261,0.982298058590127
"3824",569,262,0.955282179332017
"3825",569,380,0.881466159617149
"3826",569,540,0.799832034300574
"3827",569,541,0.7309174931739
"3828",569,542,0.949494711967704
"3829",569,543,0.931600873636573
"3830",569,545,1
"3831",569,552,0.958845106925639
"3832",569,553,0.953526605097201
"3833",569,554,0.929258758282715
"3834",569,555,0.957611620296072
"3835",569,556,0.958702799559648
"3836",569,557,0.965244596397762
"3837",569,559,0.94969606629191
"3838",569,567,0.946669670286334
"3839",569,570,0.964727081844562
"3840",569,571,0.683810840734729
"3845",569,576,0.943961151248792
"3847",569,578,0.950429186767451
"3849",569,669,0.859560469936536
"3850",569,785,0.983234707237889
"3931",579,260,0.95483934009078
"3932",579,261,0.973969287495809
"3933",579,262,0.952058218294658
"3934",579,380,0.88243875157451
"3935",579,540,0.804496710634023
"3936",579,541,0.735243706684566
"3937",579,542,0.951477893746327
"3938",579,543,0.929943168220943
"3939",579,545,1
"3940",579,552,0.959099545803742
"3941",579,553,0.953392380212321
"3942",579,554,0.928839232042074
"3943",579,555,0.955441114828153
"3944",579,556,0.958015271601733
"3945",579,557,0.966013575169856
"3946",579,559,0.947573892539055
"3947",579,567,0.944681048897933
"3948",579,570,0.963370527073618
"3949",579,571,0.686919031081789
"3954",579,576,0.944463356818381
"3956",579,578,0.948587862493409
"3961",579,669,0.860376640378333
"3962",579,785,0.985007804477655
"4013",588,621,1
"4014",588,622,0.980690981984772
"4015",588,623,0.951853741676528
"4048",595,169,0.991180189280373
"4049",595,170,0.960397705514202
"4050",595,171,0.994535796365518
"4051",595,172,1
"4052",595,173,0.990692236019064
"4054",595,564,0.363444001473288
"4080",601,603,1
"4081",601,604,0.851739949205868
"4082",601,605,0.885287652709185
"4083",601,606,0.861729518038486
"4084",601,607,0.816714841387713
"4085",601,609,0.776025491800007
"4087",601,613,0.567146536616865
"4089",601,616,0.720524215333515
"4090",601,617,0.736448357697903
"4091",601,618,0.666437692949964
"4092",601,619,0.666300164128696
"4094",602,601,0.976732652659846
"4095",602,603,0.921905095989045
"4096",602,604,0.808249219829271
"4097",602,605,0.866904867956625
"4098",602,606,0.829804846593048
"4099",602,607,0.781732932107513
"4100",602,608,1
"4101",602,609,0.747139200753097
"4103",602,613,0.585291201256738
"4105",602,616,0.667719338093488
"4106",602,617,0.665589337788957
"4107",602,618,0.623506040728264
"4108",602,619,0.622785156222437
"4110",603,604,0.938893056863239
"4111",603,605,1
"4112",603,606,0.968359592328798
"4113",603,607,0.908148493192325
"4114",603,609,0.865450202224921
"4116",603,613,0.650017348164297
"4118",603,616,0.793267841331647
"4119",603,617,0.803823312481639
"4120",603,618,0.738253685955287
"4121",603,619,0.739233782876671
"4123",604,605,1
"4124",604,606,0.963048689631676
"4125",604,607,0.900949172304494
"4126",604,609,0.856043576555965
"4128",604,613,0.667669308630125
"4130",604,616,0.753704054442681
"4131",604,617,0.751825216711292
"4132",604,618,0.710127296319323
"4133",604,619,0.712202338261157
"4135",605,606,1
"4136",605,607,0.96488630227928
"4137",605,609,0.923574771952813
"4139",605,613,0.711574569167686
"4141",605,616,0.846588073693924
"4142",605,617,0.847136533053308
"4143",605,618,0.775632056932065
"4144",605,619,0.768568449786004
"4146",606,607,1
"4147",606,609,0.958208339252669
"4149",606,613,0.724766251405811
"4151",606,616,0.882327790320097
"4152",606,617,0.887790479403785
"4153",606,618,0.809311765087769
"4154",606,619,0.801358610492707
"4156",607,609,0.996125211625609
"4158",607,613,0.781604116819141
"4160",607,616,0.892998571800349
"4161",607,617,0.887673776561312
"4162",607,618,0.828934018411749
"4163",607,619,0.830091688660192
"4165",608,601,1
"4166",608,603,0.936293095576863
"4167",608,604,0.823328585307583
"4168",608,605,0.896429678328373
"4169",608,606,0.862058286351597
"4170",608,607,0.801264646678109
"4171",608,609,0.763216056211416
"4173",608,613,0.596784678236059
"4175",608,616,0.677711950832249
"4176",608,617,0.675242487384922
"4177",608,618,0.635768755356988
"4178",608,619,0.640147256215013
"4181",609,613,0.789377207492909
"4183",609,616,0.891373499773221
"4184",609,617,0.884001295198602
"4185",609,618,0.829693542520168
"4186",609,619,0.828373489363114
"4208",613,616,1
"4209",613,617,0.994300216259764
"4210",613,618,0.935067086863036
"4211",613,619,0.938035950248371
"4230",616,617,1
"4231",616,618,0.936181311635607
"4232",616,619,0.934918116796241
"4234",617,618,0.993697297986201
"4235",617,619,1
"4237",618,619,1
"4362",636,135,1
"4363",636,136,0.992101913984857
"4364",637,135,1
"4365",637,136,0.993953746919834
"4366",638,135,1
"4367",638,136,0.992305206066661
"4426",649,601,0.979454516118701
"4427",649,602,1
"4428",649,603,0.912055242625373
"4429",649,604,0.779761176670461
"4430",649,605,0.875050086452817
"4431",649,606,0.840972154933388
"4432",649,607,0.768984253255074
"4433",649,608,0.964426106487433
"4434",649,609,0.736662908850821
"4436",649,613,0.557826140634652
"4438",649,616,0.65372380627969
"4439",649,617,0.660649621674784
"4440",649,618,0.62625364234158
"4441",649,619,0.629736159251414
"4443",650,601,0.966307440127039
"4444",650,602,1
"4445",650,603,0.918832853650533
"4446",650,604,0.773220601718557
"4447",650,605,0.818853978145875
"4448",650,606,0.785747345796548
"4449",650,607,0.738019298860352
"4450",650,608,0.959989702492403
"4451",650,609,0.711476918770666
"4453",650,613,0.548573605628613
"4455",650,616,0.653128827189197
"4456",650,617,0.656683777896942
"4457",650,618,0.604444922632715
"4458",650,619,0.600508263513724
"4460",651,601,0.960754858715003
"4461",651,602,1
"4462",651,603,0.915838527615349
"4463",651,604,0.772706954776111
"4464",651,605,0.818715988654354
"4465",651,606,0.782893742786695
"4466",651,607,0.736967911050359
"4467",651,608,0.960178965500316
"4468",651,609,0.711390719297604
"4470",651,613,0.552091712039355
"4472",651,616,0.651638081340741
"4473",651,617,0.654691305808223
"4474",651,618,0.603351781267184
"4475",651,619,0.598763025061825
"4477",652,601,0.949109278882272
"4478",652,602,1
"4479",652,603,0.899714894180746
"4480",652,604,0.770051225831632
"4481",652,605,0.834709503540694
"4482",652,606,0.798021851241808
"4483",652,607,0.743494319173742
"4484",652,608,0.953160325015502
"4485",652,609,0.715234588448414
"4487",652,613,0.552909799588908
"4489",652,616,0.650241250641164
"4490",652,617,0.651195316099761
"4491",652,618,0.60642750114149
"4492",652,619,0.607357054645924
"4494",653,601,0.940298041411738
"4495",653,602,1
"4496",653,603,0.896032245094328
"4497",653,604,0.769491073097841
"4498",653,605,0.817695847483496
