"","Actual_From","Actual_To","Weight1","edge1","Weight2","edge2"
"152",829,1040,0.0220404067031045,"edge_type1",0.0220106344500854,"edge_type2"
"153",833,73,0.267613380156863,"edge_type1",0.268899093916667,"edge_type2"
"154",834,73,0.0774622065980392,"edge_type1",0.0770336350096153,"edge_type2"
"155",834,827,0.0249329942275207,"edge_type1",0.0248049204720785,"edge_type2"
"164",921,594,0.197071780892157,"edge_type1",0.195790998022436,"edge_type2"
"165",924,771,0.248008892372549,"edge_type1",0.247809509666667,"edge_type2"
"166",924,1379,0.0613700545902126,"edge_type1",0.0614653169918052,"edge_type2"
"178",1040,155,0.274551354634314,"edge_type1",0.278886566371154,"edge_type2"
"179",1055,391,0.0514629798378991,"edge_type1",0.0514941953275183,"edge_type2"
"180",1055,1057,0.0180684344429971,"edge_type1",0.0180553675758241,"edge_type2"
"181",1056,391,0.0913941631988795,"edge_type1",0.0913629475173992,"edge_type2"
"182",1056,1057,0.0277278366432773,"edge_type1",0.0277376329319597,"edge_type2"
"183",1057,61,0.25,"edge_type1",0.25,"edge_type2"
"184",1062,167,0.103068577271765,"edge_type1",0.10470048130641,"edge_type2"
"185",1062,1102,0.0721536200843137,"edge_type1",0.0722723918364102,"edge_type2"
"191",1093,564,0.0317952063168382,"edge_type1",0.0328302360547435,"edge_type2"
"192",1093,1320,0.187325562737745,"edge_type1",0.187414016546474,"edge_type2"
"193",1095,1055,0.208873672960784,"edge_type1",0.208601959378205,"edge_type2"
"194",1095,1056,0.183942158544118,"edge_type1",0.183872187862179,"edge_type2"
"214",1176,550,0.165127832715686,"edge_type1",0.164264064227564,"edge_type2"
"226",1237,1261,0.100660206469608,"edge_type1",0.100404645652564,"edge_type2"
"231",1246,829,0.0142200388568129,"edge_type1",0.0142819748814506,"edge_type2"
"232",1246,833,0.25,"edge_type1",0.25,"edge_type2"
"233",1247,407,0.0064800349075131,"edge_type1",0.00639702398528707,"edge_type2"
"234",1254,102,0.333333333333333,"edge_type1",0.333333333333333,"edge_type2"
"235",1254,1262,0.0795664968478436,"edge_type1",0.0788951234466187,"edge_type2"
"241",1261,550,0.0191551029298651,"edge_type1",0.0191104569138301,"edge_type2"
"242",1261,594,0.0212925840349387,"edge_type1",0.0212831368484935,"edge_type2"
"245",1291,594,0.026879499637745,"edge_type1",0.0267976915057478,"edge_type2"
"248",1304,1291,0.354414691503921,"edge_type1",0.354835730699359,"edge_type2"
"249",1305,1291,0.0458686829673669,"edge_type1",0.0459271869410256,"edge_type2"
"255",1320,1316,1,"edge_type1",1,"edge_type2"
"256",1325,41,0.442722356735294,"edge_type1",0.446488109147436,"edge_type2"
"261",1345,829,0.0172663268354552,"edge_type1",0.0172811163672945,"edge_type2"
"262",1345,1343,0.333333333333333,"edge_type1",0.333333333333333,"edge_type2"
"263",1345,1344,0.333333333333333,"edge_type1",0.333333333333333,"edge_type2"
"264",1379,771,0.0302923222529656,"edge_type1",0.0303118134059374,"edge_type2"
"265",1382,1379,0.00983955895902263,"edge_type1",0.0098553389095464,"edge_type2"
