"","gene_node_idx","gene_node_name","Weight1","node1","Weight2","node2","t2ds_pret2ds_pvalue","t2ds_no_t2ds_pvalue","pret2ds_no_t2ds_pvalue"
"105",392,"EXOC7",0.166319435469608,"node_type1",0.165592191423718,"node_type2",0.232169724075516,0.547696381787217,0.401881363700078
"110",406,"FCER1A",0.0552707647130396,"node_type1",0.0551128629664698,"node_type2",0.367908735326099,0.54314416111961,0.0136193474938398
"111",407,"FCER1G",0.0853598046470668,"node_type1",0.0857426604902604,"node_type2",0.941330492505271,0.936223905195568,0.936377907914842
"119",437,"FYB1",0.11964088010725,"node_type1",0.119799032025297,"node_type2",0.0824590714010643,0.119013833759595,0.476450815880172
"120",438,"FYN",0.056579599183122,"node_type1",0.0567217771690954,"node_type2",0.466523258532586,0.687261105149524,0.123148423197889
"128",484,"GRAP2",0.101398582243865,"node_type1",0.101398904308411,"node_type2",0.951303109783107,0.104176979179463,0.0779442032554544
"129",497,"GSDMD",0.153759318422485,"node_type1",0.155159459596717,"node_type2",0.666741129263559,0.68314225322625,0.266614533591864
"133",532,"HSPB1",0.245743091381454,"node_type1",0.245882398582511,"node_type2",0.243371128893802,0.0310277185159841,0.329890870815756
"135",535,"ICOS",0.0216493293629153,"node_type1",0.0216509327158038,"node_type2",0.712881767884601,0.28964569573922,0.466471099840532
"136",538,"IFI16",0.181518960177996,"node_type1",0.181057296752493,"node_type2",0.162948093017123,0.100256107264111,0.874514288706522
"137",539,"IFIH1",0.205379314574611,"node_type1",0.205357976241777,"node_type2",0.779249141650205,0.38998994898399,0.489937087787664
"138",544,"IFNK",0.0253981620306929,"node_type1",0.0255118883973463,"node_type2",0.159204529196255,0.551434904654808,0.192924226521123
"139",550,"IKBKE",0.0369444840671794,"node_type1",0.0368290106932744,"node_type2",0.913957851767558,0.499079078159742,0.365687640385498
"140",560,"IL17RA",0.0389023691053103,"node_type1",0.0390134172053392,"node_type2",0.813081778518658,0.0954595683627558,0.0867794347753299
"141",562,"IL17RC",0.0325712396368194,"node_type1",0.0326942461943646,"node_type2",0.540358923320954,0.296506480553594,0.68836074406154
"142",563,"IL18",0.0427546104903488,"node_type1",0.0417643571190091,"node_type2",0.908990994622331,0.513018384142537,0.327944033209085
"143",564,"IL1B",0.259647853555182,"node_type1",0.259461549716202,"node_type2",0.597699765532452,0.230041564914187,0.0184174742637735
"144",565,"IL1R1",0.265844812122246,"node_type1",0.265773619559444,"node_type2",0.98375873437957,0.664499288709371,0.64232683688418
"145",566,"IL1RAP",0.306265806040196,"node_type1",0.30612832550407,"node_type2",0.906508887165191,0.426686261989983,0.346740326553588
"146",568,"IL23A",0.0448985172231282,"node_type1",0.0439874053100416,"node_type2",0.169658490330813,0.153066835128897,0.801234344832289
"150",594,"IRF3",0.0794740359809279,"node_type1",0.0792356687089729,"node_type2",0.458890620012916,0.297949384457964,0.992357357299343
"151",596,"IRF7",0.081900074673302,"node_type1",0.0824058229267034,"node_type2",0.041625268165525,0.294207572993023,2.63834300086723e-05
"152",600,"ITCH",0.126618525320396,"node_type1",0.128069492367292,"node_type2",0.297722735228979,0.182978110866297,0.822569265933052
"156",660,"LAT",0.0341653036765071,"node_type1",0.0341471656255315,"node_type2",0.996251770549952,0.567778625173183,0.418917010563907
"159",663,"LCK",0.123001578685065,"node_type1",0.124872732330452,"node_type2",0.755332494323486,0.880463444872336,0.758273358415898
"163",694,"LSP1",0.116132363794307,"node_type1",0.116235871972502,"node_type2",0.3951647369052,0.149342182421223,0.723028037937206
"166",700,"LY96",0.286013144685586,"node_type1",0.289948571145469,"node_type2",0.144878848580377,0.164098011038654,0.536767563138619
"174",745,"MAPKAPK2",0.042641404662425,"node_type1",0.0424987702887709,"node_type2",0.610808060448575,0.122894820348378,0.267249447125069
"175",747,"MAPKAPK5",0.280857947092451,"node_type1",0.281169601104402,"node_type2",0.0852628533010564,0.018817287852054,0.781177728869372
"176",749,"MAVS",0.0536619241883304,"node_type1",0.0536852331151676,"node_type2",0.719899507222771,0.749625586770342,0.265769597682572
"178",771,"MEFV",0.194876619818958,"node_type1",0.194834230474289,"node_type2",0.129966562697213,0.265944168897747,0.308886619194743
"179",772,"MFN1",0.142857142857143,"node_type1",0.142857142857143,"node_type2",0.379686103860715,0.0446547648445156,0.201108941613242
"180",773,"MFN2",0.142857142857143,"node_type1",0.142857142857143,"node_type2",0.201879305631619,0.409859011846635,0.350022865765379
"184",787,"MS4A2",0.0546620162899042,"node_type1",0.0545686340856206,"node_type2",0.671302361555163,0.0499295620307352,0.205822720627799
"188",800,"NAIP",0.341688252377549,"node_type1",0.341971202715449,"node_type2",0.604237954408379,0.243864939550771,0.399128828702535
"191",826,"NLRC4",0.13466020337765,"node_type1",0.134586157879091,"node_type2",0.136440181890029,0.79728436070089,0.0294193447466304
"192",827,"NLRP1",0.0919657276230434,"node_type1",0.0919620473898348,"node_type2",0.438265901166421,0.363440506337968,0.979425620214544
"193",829,"NLRP3",0.093470314807062,"node_type1",0.0929436914583503,"node_type2",0.602054990901047,0.466081885139507,0.926615695976582
"194",833,"NOD1",0.19706816445674,"node_type1",0.197405049910978,"node_type2",0.578280855685318,0.403871073871142,0.0902709539077673
"195",834,"NOD2",0.513912728807792,"node_type1",0.513926866346421,"node_type2",0.366245020325428,0.770013641872382,0.14357527183685
"211",921,"PIN1",0.197071780892157,"node_type1",0.195790998022436,"node_type2",0.300638238450169,0.155951777796762,0.843651784009789
"212",924,"PKN2",0.0982354668710503,"node_type1",0.0982070162136418,"node_type2",0.135617625191573,0.610712825542578,0.115234504395693
"219",1022,"PSTPIP1",0.5,"node_type1",0.5,"node_type2",0.193165994697162,0.33554572640033,0.385806207327666
"224",1040,"PYCARD",0.169025389230275,"node_type1",0.171507794875239,"node_type2",0.78405846967025,0.829656289589422,0.968065715030172
"233",1055,"RALA",0.0767552872657551,"node_type1",0.0767520872418042,"node_type2",0.899068137392168,0.57115962081846,0.612025687043566
"234",1056,"RALB",0.0807075065299312,"node_type1",0.0807280040717453,"node_type2",0.173584899412932,0.433235913875517,0.175721599911844
"235",1057,"RALBP1",0.0469098402950093,"node_type1",0.0469596084301642,"node_type2",0.854632210041371,0.511415119255924,0.529666464048744
"236",1062,"RAPGEF1",0.140568517342933,"node_type1",0.140971936167651,"node_type2",0.913957851767558,0.435431987776244,0.25392939652015
"242",1093,"RELB",0.0470808559939329,"node_type1",0.0472441469833392,"node_type2",0.534161662585339,0.52715783449741,0.064358716687601
"243",1095,"RGL1",0.101491880009785,"node_type1",0.101406155118942,"node_type2",0.343447831866816,0.52634454182545,0.0526102662610308
"246",1102,"RHOQ",0.0882100838975349,"node_type1",0.0880776186708656,"node_type2",0.256256410503278,0.00725806978183977,0.0936821351702577
"250",1108,"RNASEL",1,"node_type1",1,"node_type2",0.286250156449388,0.461523052110113,0.476450815880172
"251",1109,"RNF125",0.482347349382353,"node_type1",0.483245991057692,"node_type2",0.764872466787526,0.421992069982255,0.542938624501583
"262",1176,"SIKE1",0.165127832715686,"node_type1",0.164264064227564,"node_type2",0.197487483528047,0.0777666439851709,0.814933700522885
"263",1178,"SIPA1",0.259631254700245,"node_type1",0.259718839515745,"node_type2",0.956292378059962,0.796323077476471,0.773270048896885
"264",1182,"SKAP1",0.0505287383351937,"node_type1",0.050586916638176,"node_type2",0.441975716376435,0.146897771847202,0.402433234237029
"275",1237,"STING1",0.201540450880957,"node_type1",0.201470458317019,"node_type2",0.624042308539848,0.0942283503827776,0.242065749461063
"278",1246,"SUGT1",0.0935039895075628,"node_type1",0.093454675092949,"node_type2",0.689667208635406,0.500265939432282,0.742995620971496
"279",1247,"SYK",0.0294245539730605,"node_type1",0.0296827556517767,"node_type2",0.774448249846661,0.689553383070679,0.925444943369822
"280",1254,"TANK",0.0872637283121917,"node_type1",0.0871483205756508,"node_type2",0.593358912072528,0.707066568122632,0.759021089227216
"282",1261,"TBK1",0.0735563244949842,"node_type1",0.0735135508611902,"node_type2",0.978762463347151,0.68314225322625,0.658240958060586
"283",1262,"TBKBP1",0.124246314541826,"node_type1",0.124370882871954,"node_type2",0.495763735607584,0.997764215276231,0.405753988860147
"290",1291,"TICAM1",0.0966350490018538,"node_type1",0.0966359676482714,"node_type2",0.781652761997468,0.440581061609069,0.714579352342635
"291",1295,"TKFC",0.208728346145196,"node_type1",0.208515224457885,"node_type2",0.164844592062711,0.610712825542578,0.0067421137188465
"296",1304,"TLR3",0.354414691503921,"node_type1",0.354835730699359,"node_type2",0.377989571755659,0.471815423400774,0.557033927701043
"297",1305,"TLR4",0.17598406845203,"node_type1",0.176505286147133,"node_type2",0.141456614918866,0.275698114085907,0.495512825293056
"300",1316,"TNFRSF13C",0.511642629851917,"node_type1",0.511632639797089,"node_type2",0.101107826990988,0.00159526468350558,0.209544110735987
"303",1320,"TNFSF13B",0.567722869756055,"node_type1",0.567715498649891,"node_type2",0.269608031646598,0.429226462398485,0.427448733856897
"304",1325,"TP53BP1",0.442722356735294,"node_type1",0.446488109147436,"node_type2",0.772051021695922,0.713094257410314,0.921543614763548
"306",1333,"TRAF3IP2",0.0291997731763597,"node_type1",0.0291386869301602,"node_type2",0.478103174415229,0.561465201706637,0.800854657288472
"307",1334,"TRAF4",0.152059695943137,"node_type1",0.151643830595513,"node_type2",0.303572705020326,0.881937417207429,0.10676211671735
"308",1337,"TRIP10",0.153230088051961,"node_type1",0.153129242539103,"node_type2",0.501727040687202,0.563565899852405,0.070235459211586
"312",1343,"TXN",0.333333333333333,"node_type1",0.333333333333333,"node_type2",0.505723571446735,0.773348146355462,0.581363753352636
"313",1344,"TXN2",0.333333333333333,"node_type1",0.333333333333333,"node_type2",0.299178116943943,0.316832511819274,0.629712280295565
"314",1345,"TXNIP",0.227977664500707,"node_type1",0.227982594344654,"node_type2",0.825253510556501,0.53943368418931,0.216036559412457
"318",1379,"YWHAE",0.0614267920456206,"node_type1",0.0613894803693476,"node_type2",0.791287898310429,0.477973806914584,0.687999133383214
"319",1382,"YWHAQ",0.0909057727304784,"node_type1",0.0909415648809,"node_type2",0.554957635011673,0.604615966970294,0.836355247780645
