"","Actual_From","Actual_To","Weight","Degree_Row","Degree_Col"
"473",1303,1294,0.174444352712111,4,2
"474",1303,1323,0.0865146872341532,4,3
"475",1304,1291,0.20462142121714,1,3
"476",1305,1291,0.0700655689992668,7,3
"477",1305,1292,0.135778127152862,7,2
"478",1305,1294,0.135393704703991,7,2
"479",1307,1303,0.392115580507042,1,2
"480",1311,1200,0.0932441758290287,3,4
"481",1311,1317,0.577350279552042,3,1
"482",1311,1318,0.23896620553733,3,2
"483",1317,104,0.377964483465703,7,1
"484",1317,846,0.377964483465703,7,1
"485",1318,309,0.577350279552042,3,1
"487",1324,27,0.162221423077694,38,1
"488",1324,40,0.162221423077694,38,1
"489",1324,177,0.162221423077694,38,1
"490",1324,204,0.162221423077694,38,1
"491",1324,245,0.162221423077694,38,1
"492",1324,314,0.162221423077694,38,1
"493",1324,365,0.162221423077694,38,1
"494",1324,500,0.162221423077694,38,1
"495",1324,548,0.162221423077694,38,1
"496",1324,907,0.162221423077694,38,1
"497",1324,950,0.162221423077694,38,1
"498",1324,959,0.162221423077694,38,1
"499",1324,1090,0.162221423077694,38,1
"500",1324,1130,0.162221423077694,38,1
"501",1324,1131,0.162221423077694,38,1
"502",1324,1156,0.162221423077694,38,1
"503",1324,1157,0.162221423077694,38,1
"504",1324,1158,0.162221423077694,38,1
"505",1324,1171,0.162221423077694,38,1
"506",1324,1173,0.162221423077694,38,1
"507",1324,1181,0.162221423077694,38,1
"508",1324,1234,0.162221423077694,38,1
"509",1324,1285,0.162221423077694,38,1
"510",1324,1313,0.162221423077694,38,1
"511",1324,1314,0.162221423077694,38,1
"512",1324,1327,0.162221423077694,38,1
"513",1324,1328,0.162221423077694,38,1
"514",1324,1387,0.162221423077694,38,1
"516",1328,106,0.707106793288165,2,1
"528",1384,192,0.0902293010131127,8,2
"529",1384,322,0.353553396644082,8,1
