gene_node_idx,gene_node_name
410,FGFR1
411,FGFR2
412,FGR
413,FHL1
414,FLCN
415,FLNA
416,FLNB
417,FLOT1
418,FLOT2
419,FLT1
420,FLT3
421,FLT3LG
422,FLT4
423,FMOD
424,FN1
425,FNIP1
426,FNIP2
427,FOS
428,FOSB
429,FOXO1
430,FOXO3
431,FOXO4
432,FPR1
433,FRAT1
434,FRAT2
435,FRS2
436,FXYD2
437,FYB1
438,FYN
439,FZD1
440,FZD2
441,FZD3
442,FZD5
443,FZD6
444,G6PC3
445,GAB1
446,GAB2
447,GABARAP
448,GABARAPL1
449,GABARAPL2
450,GABBR1
451,GADD45A
452,GADD45B
453,GALT
454,GAPDH
455,GDF7
456,GHRL
457,GIPR
458,GK
459,GLI1
460,GNA11
461,GNA12
462,GNA13
463,GNA15
464,GNAI2
465,GNAI3
466,GNAL
467,GNAO1
468,GNAQ
469,GNAS
470,GNB1
471,GNB2
472,GNB4
473,GNB5
474,GNG10
475,GNG11
476,GNG2
477,GNG5
478,GNG7
479,GNGT2
480,GNRH1
481,GNRHR
482,GPER1
483,GPR161
484,GRAP2
485,GRB10
486,GRB2
487,GRIN2C
488,GRIN2D
489,GRIN3A
490,GRK2
491,GRK3
492,GRK4
493,GRK5
494,GRK6
495,GRK7
496,GRM2
497,GSDMD
498,GSK3A
499,GSK3B
500,GTSE1
501,GYS1
502,HCAR2
503,HCAR3
504,HCK
505,HDAC1
506,HDAC2
507,HDAC3
508,HDAC4
509,HDAC5
510,HEY1
511,HGF
512,HIF1A
513,HK1
514,HK2
515,HK3
516,HKDC1
517,HMGCR
518,HMGCS1
519,HMOX1
520,HOMER2
521,HOMER3
522,HRAS
523,HRH2
524,HSP90AA1
525,HSP90AB1
526,HSP90B1
527,HSPA1A
528,HSPA1B
529,HSPA1L
530,HSPA6
531,HSPA8
532,HSPB1
533,HTR6
534,ICAM1
535,ICOS
536,ID2
537,ID3
538,IFI16
539,IFIH1
540,IFNAR1
541,IFNAR2
542,IFNGR1
543,IFNGR2
544,IFNK
545,IFNLR1
546,IGF1R
547,IGF2
548,IGFBP3
549,IKBKB
550,IKBKE
551,IKBKG
552,IL10RA
553,IL10RB
554,IL11RA
555,IL12RB1
556,IL12RB2
